en,es,i18n_id,zh
Board Line 19 to Oakland on Challenger Dr. Board Line 96 to Alameda Point on Webster St.,S<0x00FA>base a la l<0x00ED>nea 19 hacia Oakland en Challenger Dr. S<0x00FA>base a la l<0x00ED>nea 96 hacia Alameda Point en Webster St.,w18_18,<0x5728> Challenger Dr. <0x642D><0x4E58>19<0x8DEF><0x53BB> Oakland<0xFF0C> <0x5728> Webster St. <0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002>
Board Line 19 toward Fruitvale BART at Challenger Dr. Board Line 96 toward Oakland on Webster St.,S<0x00FA>base a la l<0x00ED>nea 19 hacia Fruitvale BART en Challenger Dr. S<0x00FA>base a la l<0x00ED>nea 96 hacia Oakland en Webster St.,w18_19,<0x5728> Challenger Dr. <0x642D><0x4E58>19<0x8DEF><0x53BB> Fruitvale BART<0xFF0C> <0x5728> Webster St. <0x642D><0x4E58>96<0x8DEF><0x53BB> Oakland<0x3002>
Board line 216 or 625 at the stop ahead of this one.,S<0x00FA>base a las l<0x00ED>neas 216 o 625 en la parada que se encuentra delante de esta parada.,w18_20,<0x5728><0x672C><0x7AD9><0x524D><0x4E00><0x7AD9><0x4E58><0x5750>216<0x548C>625<0x8DEF><0x3002>
Board Line 28 toward Castro Valley BART and San Leandro BART on Redwood Rd.,S<0x00FA>base a la l<0x00ED>nea 28 hacia Castro Valley BART y San Leandro BART en Redwood Rd.,w18_21,<0x5728> Redwood Rd. <0x642D><0x4E58>28<0x8DEF><0x53BB> Castro Valley BART <0x548C> San Leandro BART<0x3002>
Board Line 34 on Estudillo Ave.,S<0x00FA>base a la l<0x00ED>nea 34 en Estudillo Ave.,w18_22,<0x5728> Estudillo Ave. <0x642D><0x4E58>34<0x8DEF><0x3002>
Board Line 56 on Industrial Pkwy. Southwest.,S<0x00FA>base a la l<0x00ED>nea 56 en Industrial Pkwy. Southwest. ,w18_23,<0x5728> Industrial Pkwy. <0x642D><0x4E58>56<0x8DEF><0x3002><0x5357><0x5411><0x3002>
Board Line 65 on Oxford St. at University Ave.,S<0x00FA>base a la l<0x00ED>nea 65 en Oxford St. con University Ave.,w18_24,<0x5728> Oxford St. <0x548C> University Ave. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>65<0x8DEF><0x3002>
Board Line 88 across 27th St.,S<0x00FA>base a la l<0x00ED>nea 88 al otro lado de 27th St.,w18_25,<0x5728> 27th St. <0x5BF9><0x9762><0x642D><0x4E58>88<0x8DEF><0x3002>
Board Line 88 at Grand Ave. or 27th St.,S<0x00FA>base a la l<0x00ED>nea 88 en Grand Ave. o 27th St.,w18_26,<0x5728> Grand Ave. <0x6216> 27th St. <0x642D><0x4E58>88<0x8DEF><0x3002>
Board Line 88 at San Pablo Ave.,S<0x00FA>base a la l<0x00ED>nea 88 en San Pablo Ave.,w18_27,<0x5728> San Pablo Ave. <0x642D><0x4E58>88<0x8DEF><0x3002>
Board Line 88 on San Pablo Ave. or at 27th St.,S<0x00FA>base a la l<0x00ED>nea 88 en San Pablo Ave. o en 27th St.,w18_28,<0x5728> San Pablo Ave. <0x6216> 27th St. <0x642D><0x4E58>88<0x8DEF><0x3002>
Board Line 88 on San Pablo Ave. or at 33rd St.,S<0x00FA>base a la l<0x00ED>nea 88 en San Pablo Ave. o en 33rd St.,w18_29,<0x5728> San Pablo Ave. <0x6216> 33rd St. <0x642D><0x4E58>88<0x8DEF><0x3002>
Board Line 96 to Alameda Point on Webster St.,S<0x00FA>base a la l<0x00ED>nea 96 hacia Alameda Point en Webster St.,w18_30,<0x5728> Webster St. <0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002>
Board Line 96 to Oakland on Pan Am Way at Midway Ave.,S<0x00FA>base a la l<0x00ED>nea 96 hacia Oakland en Pan Am Way con Midway Ave.,w18_31,<0x5728> Pan Am Way <0x548C> Midway Ave. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>96<0x8DEF><0x53BB> Oakland<0x3002>
Board Line 96 to Oakland on Pan Am Way at Midway Ave.,S<0x00FA>base a la l<0x00ED>nea 96 hacia Oakland en Pan Am Way con Midway Ave.,w18_32,<0x5728> Pan Am Way <0x548C> Midway Ave. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>96<0x8DEF><0x53BB> Oakland<0x3002>
Board Line 96 to Oakland on Pan Am Way.,S<0x00FA>base a la l<0x00ED>nea 96 hacia Oakland en Pan Am Way.,w18_33,<0x5728> Pan Am Way <0x642D><0x4E58>96<0x8DEF><0x53BB> Oakland<0x3002>
Board Line 97 across Bettancourt Way.,S<0x00FA>base a la l<0x00ED>nea 97 al otro lado de Bettancourt Way.,w18_34,<0x5728> Bettancourt Way <0x5BF9><0x9762><0x642D><0x4E58>97<0x8DEF><0x3002>
"Board line 97 or 210 ahead of this stop, past Santa Susana Way.","S<0x00FA>base a las l<0x00ED>neas 97 o 210 delante de esta parada, despu<0x00E9>s de Santa Susana Way.",w18_35,<0x5728><0x672C><0x7AD9><0x4E0B><0x4E00><0x7AD9><0xFF0C>Santa Susana Way <0x4E4B><0x540E><0x642D><0x4E58>97<0x548C>210<0x8DEF><0x3002>
Board Line LA at Hilltop Dr.,S<0x00FA>base a la l<0x00ED>nea LA en Hilltop Dr.,w18_36,<0x5728> Hilltop Dr. <0x642D><0x4E58>LA<0x8DEF><0x3002>
"Board lines 34 and 35 at the stop behind this one, at Alvarado St.","S<0x00FA>base a las l<0x00ED>neas 34 y 35 en la parada detr<0x00E1>s de esta, en Alvarado St.",w18_37,<0x5728><0x672C><0x7AD9><0x4E0B><0x4E00><0x7AD9><0xFF0C>Alvarado St. <0x4E0A><0x642D><0x4E58>34<0x548C>35<0x8DEF><0x3002>
Board lines 34 and 35 to Foothill Square on MacArthur Blvd.,S<0x00FA>base a las l<0x00ED>neas 34 y 35 hacia Foothill Square en MacArthur Blvd.,w18_38,<0x5728> Foothill Square <0x548C> MacArthur Blvd. <0x642D><0x4E58>34<0x548C>35<0x8DEF><0x3002>
"Board lines 51B, 52, 604, 800, or FS on University Ave. in front of Trader Joe's. Board Line 79 around the corner on Martin Luther King Jr. Way.","S<0x00FA>base a las l<0x00ED>neas 51B, 52, 604, 800 o FS en University Ave. al frente de Trader Joe's. Suba a la l<0x00ED>nea 79 a la vuelta de la esquina en Martin Luther King Jr. Way.",w18_39,"<0x5728> University Ave.<0xFF0C>Trader Joe's <0x524D><0x642D><0x4E58>51B, 52, 604, 800<0x6216>FS<0x8DEF><0x3002><0x5728> Martin Luther King Jr. Way <0x642D><0x4E58>79<0x8DEF><0x3002>"
Board on Market St. across MacArthur Blvd.,S<0x00FA>base a bordo en Market St. al otro lado de MacArthur Blvd.,w18_40,<0x5728> MacArthur Blvd. <0x5BF9><0x9762><0xFF0C>Market St. <0x4E58><0x8F66><0x3002>
Lijne LC is being discontinued. Use Line L stop at Yosemite Ave.,La l<0x00ED>nea LC ser<0x00E1> eliminada. Use la parada de la l<0x00ED>nea L en Yosemite Ave.,w18_41,LC<0x8DEF><0x505C><0x8FD0><0x3002><0x5728> Yosemite Ave. <0x642D><0x4E58>L<0x8DEF><0x3002>
"Line 19 to Fruitvale BART and Line 96 to Oakland will stop here. For Alameda Point, board across Mitchell Ave. at Diller St.","La l<0x00ED>nea 19 hacia Fruitvale BART y la l<0x00ED>nea 96 hacia Oakland se parar<0x00E1>n aqu<0x00ED>. Para ir a Alameda Point, s<0x00FA>base a bordo al otro lado de Mitchell Ave. en Diller St.",w18_42,<0x5F00><0x5F80> Fruitvale BART <0x7684>19<0x8DEF><0xFF0C><0x548C><0x5F00><0x5F80> Oakland <0x7684>96<0x8DEF><0x5728><0x672C><0x7AD9><0x505C><0x9760><0x3002><0x5728> Mitchell Ave. <0x5BF9><0x9762><0xFF0C>Diller St. <0x4E0A><0x4E58><0x8F66><0x53BB> Alameda Point<0x3002>
"Line 19 to Fruitvale BART will stop here. For Alameda Point, board Line 96 on Mitchell Ave. at Diller St.","La l<0x00ED>nea 19 hacia Fruitvale BART se parar<0x00E1> aqu<0x00ED>. Para ir a Alameda Point, s<0x00FA>base a la l<0x00ED>nea 96 en Mitchell Ave. con Diller St.",w18_43,<0x5728><0x672C><0x7AD9><0x642D><0x4E58>19<0x8DEF><0x53BB> Fruitvale BART<0x3002><0x5728> Mitchell Ave. <0x5BF9><0x9762><0xFF0C>Diller St. <0x4E0A><0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002>
"Line 19 to Fruitvale BART will stop here. For Alameda Point, board Line 96 on Webster St.","La l<0x00ED>nea 19 hacia Fruitvale BART se parar<0x00E1> aqu<0x00ED>. Para ir a Alameda Point, s<0x00FA>base a la l<0x00ED>nea 96 en Webster St.",w18_44,<0x5728><0x672C><0x7AD9><0x642D><0x4E58>19<0x8DEF><0x53BB> Fruitvale BART<0x3002><0x5728> Webster St. <0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002>
"Line 65 to Downtown Berkeley via Senior Ave. will stop here. For Lawrence Hall of Science, board at Avenida Dr.","La l<0x00ED>nea 65 hacia Downtown Berkeley pasando por Senior Ave. se parar<0x00E1> aqu<0x00ED>. Para ir al Lawrence Hall of Science, s<0x00FA>base a bordo en Avenida Dr.",w18_45,<0x5F00><0x5F80> Downtown Berkeley <0x7684>65<0x8DEF><0x5728><0x672C><0x7AD9><0x505C><0x9760><0xFF0C><0x9014><0x7ECF> Senior Ave.<0x3002><0x5728> Avenida Dr. <0x4E58><0x8F66><0x53BB> Lawrence Hall of Science<0x3002>
"Line 96 to Alameda Point will stop here. For Line 96 to Oakland, board across the street.","La l<0x00ED>nea 96 hacia Alameda Point se parar<0x00E1> aqu<0x00ED>. Para la l<0x00ED>nea 96 hacia Oakland, s<0x00FA>base a bordo al otro lado de la calle.",w18_46,<0x5728><0x672C><0x7AD9><0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002><0x5728><0x8857><0x5BF9><0x9762><0x642D><0x4E58>96<0x8DEF><0x53BB> Oakland<0x3002>
"Line 96 to Oakland will stop here. For Line 96 to Alameda Point, board across the street.","La l<0x00ED>nea 96 hacia Oakland se parar<0x00E1> aqu<0x00ED>. Para la l<0x00ED>nea 96 hacia Alameda Point, s<0x00FA>base a bordo al otro lado de la calle.",w18_47,<0x5F00><0x5F80> Oakland <0x7684>96<0x8DEF><0x5728><0x672C><0x7AD9><0x505C><0x9760><0x3002><0x5728><0x8857><0x5BF9><0x9762><0x642D><0x4E58>96<0x8DEF><0x53BB> Alameda Point<0x3002>
Line LA will serve Pierce St. instead of lines L and LC. Use the stop at Solano Ave.,La l<0x00ED>nea LA dar<0x00E1> servicio a Pierce St. en lugar de las l<0x00ED>neas L y LC. Use la parada en Solano Ave.,w18_48,LA<0x670D><0x52A1> Pierce St.<0xFF0C><0x800C><0x975E>L<0x548C>LC<0x8DEF>.<0x3002><0x5728> Solano Ave. <0x4E0A><0x7684><0x8F66><0x7AD9><0x4E58><0x8F66><0x3002>
Line LC is being discontinued. Use Line L at San Pablo Ave.,La l<0x00ED>nea LC ser<0x00E1> eliminada. Use la l<0x00ED>nea L en San Pablo Ave.,w18_49,LC<0x8DEF><0x505C><0x8FD0><0x3002><0x5728> Solano Ave. <0x4E0A><0x642D><0x4E58>L<0x8DEF><0x3002>
Line LC is being discontinued. Use Line L on Church Lane at El Portal Dr.,La l<0x00ED>nea LC ser<0x00E1> eliminada. Use la l<0x00ED>nea L en Church Lane con El Portal Dr.,w18_50,LC<0x8DEF><0x505C><0x8FD0><0x3002><0x5728> Church Lane <0x548C> El Portal Dr. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>L<0x8DEF><0x3002>
Line LC is being discontinued. Use Line L.,La l<0x00ED>nea LC ser<0x00E1> eliminada. Use la l<0x00ED>nea L.,w18_51,LC<0x8DEF><0x505C><0x8FD0><0x3002><0x642D><0x4E58>L<0x8DEF><0x3002>
Line LC is being discontinued. Use Line LA.,La l<0x00ED>nea LC ser<0x00E1> eliminada. Use la l<0x00ED>nea LA.,w18_52,LC<0x8DEF><0x505C><0x8FD0><0x3002><0x642D><0x4E58>LA<0x8DEF><0x3002>
Pierce St. will be served by Line LA instead of Lines L and LC.,Pierce St. recibir<0x00E1> servicio de la l<0x00ED>nea LA en lugar de las l<0x00ED>neas L y LC.,w18_53,LA<0x8DEF><0x5C06><0x53D6><0x4EE3>L<0x548C>LC<0x8DEF><0x670D><0x52A1> Pierce St.<0x3002>
"Take Line 19 to downtown Oakland. For areas further east on Line 96, transfer at 8th St. & Harrison St.","S<0x00FA>base a la l<0x00ED>nea 19 hacia downtown Oakland. Para ir a las <0x00E1>reas m<0x00E1>s al este en la l<0x00ED>nea 96, haga la transferencia en 8th St. y Harrison St.",w18_54,<0x642D><0x4E58>19<0x8DEF><0x53BB> Oakland <0x5E02><0x533A><0x3002><0x53BB>96<0x8DEF><0x5F80><0x4E1C><0x66F4><0x8FDC><0x7684><0x5730><0x65B9><0xFF0C><0x8BF7><0x5728> 8th St. & Harrison St. <0x8F6C><0x8F66><0x3002>
"Take Line 19 to downtown Oakland. For areas further east, take Line 96 on Marina Village Pkwy. at Mariner Square Loop, or take Line 19 and transfer at 8th St. & Harrison St.","S<0x00FA>base a la l<0x00ED>nea 19 hacia downtown Oakland. Para ir a las <0x00E1>reas m<0x00E1>s al este, s<0x00FA>base a la l<0x00ED>nea 96 en Marina Village Pkwy. con Mariner Square Loop, o s<0x00FA>base a la l<0x00ED>nea 19 y haga la transferencia en 8th St. y Harrison St.",w18_55,<0x642D><0x4E58>19<0x8DEF><0x53BB> Oakland <0x5E02><0x533A><0x3002><0x53BB><0x4E1C><0x8FB9><0x66F4><0x8FDC><0x7684><0x5730><0x65B9><0xFF0C><0x8BF7><0x5728> Marina Village Pkwy. <0x548C> Mariner Square Loop <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>96<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>19<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> 8th St. & Harrison St. <0x8F6C><0x8F66><0x3002>
"Take Line 19 to downtown Oakland. For areas further east, take Line 96 on Marina Village Pkwy. at Mariner Square Loop.","S<0x00FA>base a la l<0x00ED>nea 19 hacia downtown Oakland. Para ir a las <0x00E1>reas m<0x00E1>s al este, s<0x00FA>base a la l<0x00ED>nea 96 en Marina Village Pkwy. con Mariner Square Loop.",w18_56,<0x642D><0x4E58>19<0x8DEF><0x53BB> Oakland <0x5E02><0x533A><0x3002><0x53BB><0x4E1C><0x8FB9><0x66F4><0x8FDC><0x7684><0x5730><0x65B9><0xFF0C><0x8BF7><0x5728> Marina Village Pkwy. <0x548C> Mariner Square Loop <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>96<0x8DEF><0x3002>
"Take Line 19 to downtown Oakland. For areas further east, take Line 96 on Webster St., or take Line 19 and transfer at 8th St. & Harrison St.","S<0x00FA>base a la l<0x00ED>nea 19 hacia downtown Oakland. Para ir a las <0x00E1>reas m<0x00E1>s al este, s<0x00FA>base a la l<0x00ED>nea 96 en Webster St., o s<0x00FA>base a la l<0x00ED>nea 19 y haga la transferencia en 8th St. y Harrison St.",w18_57,<0x642D><0x4E58>19<0x8DEF><0x53BB> Oakland <0x5E02><0x533A><0x3002><0x53BB><0x4E1C><0x8FB9><0x66F4><0x8FDC><0x7684><0x5730><0x65B9><0xFF0C><0x8BF7><0x5728> Webster St. <0x642D><0x4E58>96<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>19<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> 8th St. & Harrison St. <0x8F6C><0x8F66><0x3002>
Take line 20 or 51A to Oakland.,s<0x00FA>base a la l<0x00ED>nea 20 o 51A hacia Oakland.,w18_58,<0x642D><0x4E58>20<0x6216>51A<0x8DEF><0x53BB> Oakland<0x3002>
Use line 20 or 51A to downtown Oakland.,Use la l<0x00ED>nea 20 o 51A hacia Downtown Oakland.,w18_59,<0x642D><0x4E58>20<0x6216>51A<0x8DEF><0x53BB> Oakland <0x5E02><0x533A><0x3002>
Use Line L at San Pablo Ave. & Bayview Ave.,Use la l<0x00ED>nea L en San Pablo Ave. y Bayview Ave.,w18_60,<0x5728> San Pablo Ave. & Bayview Ave. <0x642D><0x4E58>L<0x8DEF><0x3002>
"Use Line L at San Pablo Ave. & Central Ave., or Line G at Richmond St. & Fairmount Ave.",Use la l<0x00ED>nea L en San Pablo Ave. y Central Ave. o la l<0x00ED>nea G en Richmond St. y Fairmount Ave.,w18_61,<0x5728> San Pablo Ave. & Central Ave. <0x642D><0x4E58>L<0x8DEF><0x3002> <0x5728> Richmond St. & Fairmount Ave <0x642D><0x4E58>G<0x8DEF><0x3002>
Use Line L at San Pablo Ave. & Lincoln Ave.,Use la l<0x00ED>nea L en San Pablo Ave. y Lincoln Ave.,w18_62,<0x5728> San Pablo Ave. & Lincoln Ave. <0x642D><0x4E58>L<0x8DEF><0x3002>
"Use Line L at San Pablo Ave. & Lincoln Ave., or Line G at Richmond St. & Fairmount Ave.",Use la l<0x00ED>nea L en San Pablo Ave. y Lincoln Ave. o la l<0x00ED>nea G en Richmond St. y Fairmount Ave.,w18_63,<0x5728> San Pablo Ave. & Lincoln Ave. <0x642D><0x4E58>L<0x8DEF><0x3002> <0x5728> Richmond St. & Fairmount Ave <0x642D><0x4E58>G<0x8DEF><0x3002>
Use Line L at San Pablo Ave. & Manila Ave.,Use la l<0x00ED>nea L en San Pablo Ave. y Manila Ave.,w18_64,<0x5728> San Pablo Ave. & Manila Ave. <0x642D><0x4E58>L<0x8DEF><0x3002>
Use Line L at San Pablo Ave. & Moeser Lane.,Use la l<0x00ED>nea L en San Pablo Ave y Moeser Lane.,w18_65,<0x5728> San Pablo Ave. & Moeser Lane <0x642D><0x4E58>L<0x8DEF><0x3002>
"Use Line L at San Pablo Ave. & Moeser Ln., or Line G at Richmond St. & Fairmount Ave.",Use la l<0x00ED>nea L en San Pablo Ave. y Moeser Ln. o la l<0x00ED>nea G en Richmond St. y Fairmount Ave.,w18_66,<0x5728> San Pablo Ave. & Moeser Ln. <0x642D><0x4E58>L<0x8DEF><0x3002> <0x5728> Richmond St. & Fairmount Ave <0x642D><0x4E58>G<0x8DEF><0x3002>
Use Line L at San Pablo Ave. & Potrero Ave.,Use la l<0x00ED>nea L en San Pablo Ave. y Potrero Ave.,w18_67,<0x5728> San Pablo Ave. & Potrero Ave. <0x642D><0x4E58>L<0x8DEF><0x3002>
Use Line L.,Use la l<0x00ED>nea L.,w18_68,<0x642D><0x4E58>L<0x8DEF><0x3002>
Use Line LA.,Use la l<0x00ED>nea LA.,w18_69,<0x642D><0x4E58>LA<0x8DEF><0x3002>
Use stops at San Pablo Ave. & University Ave.,Use las paradas en San Pablo Ave. y University Ave.,w18_70,<0x5728> San Pablo Ave. & University Ave. <0x4E0A><0x7684><0x8F66><0x7AD9><0x4E58><0x8F66><0x3002>
Alerts,Alertas,alerts,<0x63D0><0x9192>
Service Alerts,Alertas de servicio,service_alerts,<0x670D><0x52A1><0x63D0><0x9192>
Departure times,Horas de salida,dep_times,<0x53D1><0x8F66><0x65F6><0x95F4>
Scheduled departure times,Horas de salida previstas,sch_dep_times,<0x8BA1><0x5212><0x53D1><0x8F66><0x65F6><0x95F4>
Last departure of the day:,<0x00DA>ltima salida del d<0x00ED>a:,last_dep,<0x5F53><0x5929><0x672B><0x73ED><0x8F66><0x53D1><0x8F66><0xFF1A>
Last scheduled departure time of the day:,<0x00DA>ltima hora de salida del d<0x00ED>a prevista:,last_sch_dep,<0x5F53><0x5929><0x672B><0x73ED><0x8F66><0x8BA1><0x5212><0x53D1><0x8F66><0x65F6><0x95F4><0xFF1A>
Next departure time:,Pr<0x00F3>xima hora de salida:,next_dep_time,<0x4E0B><0x4E00><0x73ED><0x8F66><0x53D1><0x8F66><0x65F6><0x95F4><0xFF1A>
Next departure times:,Pr<0x00F3>ximas horas de salida:,next_dep_times,<0x4E0B><0x73ED><0x8F66><0x53D1><0x8F66><0x65F6><0x95F4><0xFF1A>
"Service changes effective Sunday, December 15, 2019:",Cambios en el servicio efectivos a partir del domingo 15 de diciembre de 2019:,2019-12-15,2019<0x5E74>12<0x6708>15<0x65E5><0xFF0C><0x661F><0x671F><0x65E5><0xFF0C><0x670D><0x52A1><0x53D8><0x66F4><0x5F00><0x59CB><0x751F><0x6548>
"Board line 1, 10, or 801 at San Leandro BART.","S<0x00FA>base a la l<0x00ED>nea 1, 10, u 801 en San Leandro BART.",w19_1,"<0x5728> San Leandro BART <0x7AD9><0x642D><0x4E58>1, 10<0x548C>801<0x8DEF><0x5DF4><0x58EB><0x3002>"
"Board Line 12 at the stop ahead of this one, past 10th Street.","S<0x00FA>base a la l<0x00ED>nea 12 en la parada adelante de esta, pasando 10th Street.",w19_2,<0x5728><0x672C><0x7AD9><0x4E0A><0x4E00><0x7AD9><0xFF0C>10th Street <0x540E><0x642D><0x4E58>12<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board line 12, 51A, 851, or the Broadway Shuttle ahead of this stop, at 19th St.","S<0x00FA>base a la l<0x00ED>nea 12, 51A, 851, o al transporte de enlace de Broadway adelante de esta parada, en 19th St.",w19_3,"<0x5728><0x672C><0x7AD9><0x4E0A><0x4E00><0x7AD9><0xFF0C>19th Street <0x4E0A><0x642D><0x4E58>12, 51A, 851<0x548C> Broadway <0x73ED><0x8F66><0x3002>"
Board line 14 or 648 on the other side of International Blvd.,S<0x00FA>base a la l<0x00ED>nea 14 o 648 al otro lado de International Blvd.,w19_4,<0x5728> International Blvd. <0x5BF9><0x9762><0x642D><0x4E58>14<0x548C>648<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 200 behind this stop, the second stop past the crosswalk.","S<0x00FA>base a la l<0x00ED>nea 200 detr<0x00E1>s de esta parada, en la segunda parada pasando el cruce peatonal.",w19_5,<0x5728><0x672C><0x7AD9><0x4E0B><0x4E00><0x7AD9><0xFF0C><0x5341><0x5B57><0x8DEF><0x540E><0x7684><0x7B2C><0x4E8C><0x4E2A><0x8F66><0x7AD9><0x642D><0x4E58>200<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 215 ahead of this stop, at the third stop past the crosswalk.","S<0x00FA>base a la l<0x00ED>nea 215 adelante de esta parada, en la tercera parada pasando el cruce peatonal.",w19_6,<0x5728><0x672C><0x7AD9><0x4E0A><0x4E00><0x7AD9><0xFF0C><0x5341><0x5B57><0x8DEF><0x540E><0x7684><0x7B2C><0x4E09><0x4E2A><0x8F66><0x7AD9><0x642D><0x4E58>215<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 216 ahead of this stop, the second stop past the crosswalk. For Line 707, take the crosswalk to the middle lane, and turn left. Line 707 will be at the first stop.","S<0x00FA>base a la l<0x00ED>nea 216 adelante de esta parada, en la segunda parada pasando el cruce peatonal. Para la l<0x00ED>nea 707, tome el cruce peatonal hacia el carril del medio, y gire a la izquierda. La l<0x00ED>nea 707 estar<0x00E1> en la primera parada.",w19_7,<0x5728><0x672C><0x7AD9><0x4E0A><0x4E00><0x7AD9><0xFF0C><0x5341><0x5B57><0x8DEF><0x540E><0x7684><0x7B2C><0x4E8C><0x4E2A><0x8F66><0x7AD9><0x642D><0x4E58>216<0x8DEF><0x5DF4><0x58EB><0x3002><0x4ECE><0x4EBA><0x884C><0x9053><0x884C><0x81F3><0x4E2D><0x95F4><0x9053><0xFF0C><0x7136><0x540E><0x5DE6><0x8F6C><0x642D><0x4E58>707<0x8DEF><0x5DF4><0x58EB><0x3002>707<0x8DEF><0x5728><0x7B2C><0x4E00><0x4E2A><0x7AD9><0x505C><0x9760><0x3002>
"Board Line 217 ahead of this stop, one stop beyond the crosswalk.","S<0x00FA>base a la l<0x00ED>nea adelante de esta parada, una parada m<0x00E1>s all<0x00E1> del cruce peatonal.",w19_8,<0x5728><0x672C><0x7AD9><0x4E0A><0x4E00><0x7AD9><0xFF0C><0x5341><0x5B57><0x8DEF><0x540E><0x7684><0x7B2C><0x4E00><0x4E2A><0x8F66><0x7AD9><0x642D><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 217 at Milpitas BART, or use VTA Line 66 and transfer to Line 217 at Milpitas Blvd.","S<0x00FA>base a la l<0x00ED>nea 217 en Milpitas BART, o use la l<0x00ED>nea VTA 66 y haga la transferencia a la l<0x00ED>nea 217 en Milpitas Blvd.",w19_9,<0x5728> Milpitas BART <0x642D><0x4E58>217<0x8DEF><0xFF0C><0x6216><0x642D><0x4E58> VTA 66<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Milpitas Blvd. <0x8F6C><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
Board Line 217 at Town Center Dr. or at Calaveras Blvd.,S<0x00FA>base a la l<0x00ED>nea 217 en Town Center Dr. o en Calaveras Blvd.,w19_10,<0x5728> Town Center Dr. <0x6216> Calaveras Blvd. <0x642D><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
Board Line 217 on Milpitas Blvd.,S<0x00FA>base a la l<0x00ED>nea 217 en Milpitas Blvd.,w19_11,<0x5728> Milpitas Blvd. <0x642D><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 217 on Milpitas Blvd. at Calaveras Blvd., or use VTA Line 66 and transfer to Line 217 at Milpitas Blvd.","S<0x00FA>base a la l<0x00ED>nea 217 en Milpitas Blvd. con Calaveras Blvd., o use la l<0x00ED>nea VTA 66 y haga la transferencia a la l<0x00ED>nea 217 en Milpitas Blvd.",w19_12,<0x5728> Milpitas Blvd. <0x548C> Calaveras Blvd. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>217<0x8DEF><0xFF0C><0x6216><0x642D><0x4E58> VTA 66<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Milpitas Blvd. <0x8F6C><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
"Board Line 217 on Milpitas Blvd. at Calaveras Blvd., or use VTA Line 66 on Main St. and transfer to Line 217 at Milpitas Blvd.","S<0x00FA>base a la l<0x00ED>nea 217 en Milpitas Blvd. con Calaveras Blvd., o use la l<0x00ED>nea VTA 66 en Main St. y haga la transferencia a la l<0x00ED>nea 217 en Milpitas Blvd.",w19_13,<0x5728> Milpitas Blvd. <0x548C> Calaveras Blvd. <0x4EA4><0x53C9><0x53E3><0x7AD9><0x642D><0x4E58>217<0x8DEF><0xFF0C><0x6216><0x5728> Main St. <0x642D><0x4E58> VTA 66<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Milpitas Blvd. <0x8F6C><0x4E58>217<0x8DEF><0x5DF4><0x58EB><0x3002>
Board Line 232 two stops behind this one.,S<0x00FA>base a la l<0x00ED>nea 232 dos paradas detr<0x00E1>s de esta.,w19_14,<0x5728><0x672C><0x7AD9><0x540E><0x4E24><0x7AD9><0x642D><0x4E58>232<0x8DEF><0x5DF4><0x58EB><0x3002>
Board Line 239 two stops behind this stop.,S<0x00FA>base a la l<0x00ED>nea 239 dos paradas detr<0x00E1>s de esta.,w19_15,<0x5728><0x672C><0x7AD9><0x540E><0x4E24><0x7AD9><0x642D><0x4E58>239<0x8DEF><0x5DF4><0x58EB><0x3002>
